Timestamp,Wallet,Balance,Symbol,USD Balance,USD Rate,Network,Address,Token
2022-06-24T00:00:00Z,Aragon Agent,41602051.49998456,MANA,38211844,0.9185086,Ethereum,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2022-06-24T00:00:00Z,Aragon Agent,16737.75329772667,DAI,16726.125,0.99930525,Ethereum,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-24T00:00:00Z,Aragon Agent,12.53061324975,WETH,15209.484,1213.7861,Ethereum,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2022-06-24T00:00:00Z,Aragon Agent,2.546993625,ETH,3099.8516,1217.0629,Ethereum,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
2022-06-24T00:00:00Z,Aragon Agent,1417.223095,USDC,1420.4241,1.0022587,Ethereum,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2022-06-24T00:00:00Z,DAO Committee,2091931.73384849,MANA,1921457.1,0.9185086,Ethereum,0x89214c8ca9a49e60a3bfa8e00544f384c93719b1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2022-06-24T00:00:00Z,DAO Committee,945760.0345046468,DAI,945102.94,0.99930525,Ethereum,0x89214c8ca9a49e60a3bfa8e00544f384c93719b1,0x6b175474e89094c44da98b954eedeac495271d0f
2022-06-24T00:00:00Z,DAO Committee,8.53007264090058,ETH,10381.636,1217.0629,Ethereum,0x89214c8ca9a49e60a3bfa8e00544f384c93719b1,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
2022-06-24T00:00:00Z,DAO Committee,1105179.7005380034,MANA,1015117,0.9185086,Polygon,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2022-06-24T00:00:00Z,DAO Committee,6.376888027125396,WETH,7740.1787,1213.7861,Polygon,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
2022-06-24T00:00:00Z,DAO Committee,55.91875,DAI,55.8799,0.99930525,Polygon,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-06-24T00:00:00Z,DAO Committee,21.6,USDC,21.648787,1.0022587,Polygon,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
